source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0060429,epithelium development,7.870988985699931e-08,True,"""The process whose specific outcome is the progression of an epithelium over time, from its formation to the mature structure. An epithelium is a tissue that covers the internal or external surfaces of an anatomical structure."" [GOC:dph, GOC:mtg_lung]",1238,52,19,21026,0.36538461538461536,0.015347334410339256,query_1,['GO:0009888']
GO:BP,GO:0009888,tissue development,7.876271406314348e-06,True,"""The process whose specific outcome is the progression of a tissue over time, from its formation to the mature structure."" [ISBN:0471245208]",2032,52,21,21026,0.40384615384615385,0.01033464566929134,query_1,['GO:0048856']
GO:BP,GO:0031424,keratinization,9.9020753534817e-05,True,"""The process in which the cytoplasm of the outermost cells of the vertebrate epidermis is replaced by keratin. Keratinization occurs in the stratum corneum, feathers, hair, claws, nails, hooves, and horns."" [GOC:dph, GOC:ebc, GOC:sdb_2009, GOC:tb]",83,52,6,21026,0.11538461538461539,0.07228915662650602,query_1,"['GO:0030216', 'GO:0032501']"
REAC,REAC:R-HSA-1266738,Developmental Biology,0.00010060351217586801,True,Developmental Biology,1384,43,19,11004,0.4418604651162791,0.013728323699421965,query_1,['REAC:0000000']
GO:BP,GO:0010839,negative regulation of keratinocyte proliferation,0.0005078738198573273,True,"""Any process that decreases the rate, frequency or extent of keratinocyte proliferation. Keratinocyte proliferation is the multiplication or reproduction of keratinocytes, resulting in the expansion of a cell population."" [GOC:dph, GOC:tb]",23,52,4,21026,0.07692307692307693,0.17391304347826086,query_1,"['GO:0010837', 'GO:0043616', 'GO:0050680']"
GO:BP,GO:0045110,intermediate filament bundle assembly,0.0014142847868326876,True,"""The formation of the bundles of intermediate filaments. Intermediate filament-associated proteins (IFAPs) cross-link intermediate filaments with one another, forming a bundle or a network, and with other cell structures, including the plasma membrane. The organization of intermediate filaments and their supportive function in various cells types depends in large part on their linkage to other cell structures via IFAPs."" [ISBN:0716731363]",8,52,3,21026,0.057692307692307696,0.375,query_1,"['GO:0022607', 'GO:0045109']"
REAC,REAC:R-HSA-351906,Apoptotic cleavage of cell adhesion  proteins,0.00325131606025645,True,Apoptotic cleavage of cell adhesion  proteins,11,43,3,11004,0.06976744186046512,0.2727272727272727,query_1,['REAC:R-HSA-111465']
GO:BP,GO:0002934,desmosome organization,0.0041452843059224115,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a desmosome. A desmosome is a patch-like intercellular junction found in vertebrate tissues, consisting of parallel zones of two cell membranes, separated by an space of 25-35 nm, and having dense fibrillar plaques in the subjacent cytoplasm."" [GOC:hjd]",11,52,3,21026,0.057692307692307696,0.2727272727272727,query_1,['GO:0045216']
GO:BP,GO:0010837,regulation of keratinocyte proliferation,0.00897439499341709,True,"""Any process that modulates the rate, frequency or extent of keratinocyte proliferation. Keratinocyte proliferation is the multiplication or reproduction of keratinocytes, resulting in the expansion of a cell population."" [GOC:dph, GOC:tb]",46,52,4,21026,0.07692307692307693,0.08695652173913043,query_1,"['GO:0043616', 'GO:0050678']"
GO:BP,GO:0043616,keratinocyte proliferation,0.02282737201902272,True,"""The multiplication or reproduction of keratinocytes, resulting in the expansion of a cell population. Keratinocytes are epidermal cells which synthesize keratin and undergo a characteristic change as they move upward from the basal layers of the epidermis to the cornified (horny) layer of the skin."" [CL:0000311]",58,52,4,21026,0.07692307692307693,0.06896551724137931,query_1,['GO:0050673']
GO:BP,GO:0045682,regulation of epidermis development,0.035965134053115085,True,"""Any process that modulates the frequency, rate or extent of epidermis development."" [GOC:go_curators]",65,52,4,21026,0.07692307692307693,0.06153846153846154,query_1,"['GO:0008544', 'GO:0050793']"
GO:BP,GO:0048513,animal organ development,0.0391839421357213,True,"""Development of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dph, GOC:jid]",3085,52,20,21026,0.38461538461538464,0.006482982171799027,query_1,['GO:0048856']
GO:BP,GO:2000647,negative regulation of stem cell proliferation,0.04356929288055279,True,"""Any process that stops, prevents or reduces the frequency, rate or extent of stem cell proliferation."" [GOC:dph]",23,52,3,21026,0.057692307692307696,0.13043478260869565,query_1,"['GO:0008285', 'GO:0072089', 'GO:0072091']"
